Player,Kicks OT,Kicks BT,Handballs OT,Handballs BT,Disposals OT,Disposals BT,Marks OT,Marks BT,Goals OT,Goals BT,Behinds OT,Behinds BT,Tackles OT,Tackles BT,Hitouts OT,Hitouts BT,Goal Assists OT,Goal Assists BT,Inside 50s OT,Inside 50s BT,Clearances OT,Clearances BT,Clangers OT,Clangers BT,Rebound 50s OT,Rebound 50s BT,Frees For OT,Frees For BT,Frees Agains OT,Frees Agains BT,Contested Possessions OT,Contested Possessions BT,Uncontested Possessions OT,Uncontested Possessions BT,Effective Disposals OT,Effective Disposals BT,Disposal Efficiency % OT,Disposal Efficiency % BT,Contested Marks OT,Contested Marks BT,Marks Inside 50 OT,Marks Inside 50 BT,One Percenters OT,One Percenters BT,Bounces OT,Bounces BT,Centre Clearances OT,Centre Clearances BT,Stoppage Clearances OT,Stoppage Clearances BT,Score Involvements OT,Score Involvements BT,Metres Gained OT,Metres Gained BT,Turnovers OT,Turnovers BT,Intercepts OT,Intercepts BT,Tackles Inside 50 OT,Tackles Inside 50 BT,Time On Ground % OT,Time On Ground % BT,Winloss,Brownlow Votes
Rory Laird,0.6842105263157895,0.7,1.0,1.0,1.0,1.0,0.75,0.6,0.0,0.0,0.0,0.0,0.7142857142857143,0.5555555555555556,0.0,0.0,1.0,1.0,0.7777777777777778,0.7777777777777778,1.0,1.0,0.4,0.25,0.07692307692307693,0.07692307692307693,0.5,0.3333333333333333,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.4746059544658494,0.4746059544658494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.4,0.8181818181818182,0.8181818181818182,0.4706666666666667,0.49746835443037973,0.5,0.5,0.25,0.25,0.25,0.25,0.5813953488372093,0.76,0,2
Ben Keays,0.7894736842105263,0.8,0.6086956521739131,0.625,0.7878787878787878,0.8055555555555556,0.375,0.3,0.0,0.0,0.16666666666666666,0.16666666666666666,0.8571428571428571,0.6666666666666666,0.0,0.0,0.0,0.0,0.4444444444444444,0.4444444444444444,0.7142857142857143,0.7142857142857143,0.8,0.5,0.07692307692307693,0.07692307692307693,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5714285714285714,0.6,0.8333333333333334,0.8333333333333334,0.8,0.8076923076923077,0.45709281961471104,0.45709281961471104,0.0,0.0,0.0,0.0,0.25,0.15384615384615385,1.0,1.0,0.2,0.2,1.0,0.8,0.45454545454545453,0.45454545454545453,0.5013333333333333,0.5265822784810127,0.875,0.875,0.0,0.0,0.25,0.25,0.627906976744186,0.7866666666666666,0,0
Paul Seedsman,0.8421052631578947,0.85,0.30434782608695654,0.3333333333333333,0.6060606060606061,0.6388888888888888,0.875,0.7,1.0,0.3333333333333333,0.0,0.0,0.5714285714285714,0.4444444444444444,0.0,0.0,0.5,0.5,0.4444444444444444,0.4444444444444444,0.2857142857142857,0.2857142857142857,0.4,0.25,0.3076923076923077,0.3076923076923077,0.0,0.0,0.0,0.0,0.14285714285714285,0.2,0.9166666666666666,0.9166666666666666,0.8,0.8076923076923077,0.7373029772329247,0.7373029772329247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.5454545454545454,0.5454545454545454,0.9133333333333333,0.9177215189873418,0.5,0.5,0.125,0.125,0.0,0.0,0.5813953488372093,0.76,0,1
Brodie Smith,1.0,1.0,0.13043478260869565,0.16666666666666666,0.5757575757575758,0.6111111111111112,1.0,0.8,0.0,0.0,0.0,0.0,0.14285714285714285,0.1111111111111111,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.14285714285714285,0.14285714285714285,0.4,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.4666666666666667,0.625,0.625,0.76,0.7692307692307693,0.7197898423817863,0.7197898423817863,0.2,0.2,0.0,0.0,0.5,0.3076923076923077,0.0,0.0,0.0,0.0,0.25,0.2,0.2727272727272727,0.2727272727272727,1.0,1.0,0.625,0.625,1.0,1.0,0.0,0.0,0.6511627906976745,0.8,0,0
Rory Sloane,0.5789473684210527,0.6,0.34782608695652173,0.375,0.48484848484848486,0.5277777777777778,0.5,0.4,0.0,0.0,0.0,0.0,0.7142857142857143,0.5555555555555556,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.5714285714285714,0.4,0.25,0.0,0.0,1.0,0.6666666666666666,0.5,0.3333333333333333,0.5,0.5333333333333333,0.5416666666666666,0.5416666666666666,0.52,0.5384615384615384,0.45709281961471104,0.45709281961471104,0.2,0.2,0.0,0.0,0.25,0.15384615384615385,0.0,0.0,0.4,0.4,0.5,0.4,0.45454545454545453,0.45454545454545453,0.488,0.5139240506329114,0.75,0.75,0.5,0.5,0.0,0.0,0.46511627906976744,0.6933333333333334,0,0
Taylor Walker,0.5789473684210527,0.6,0.30434782608695654,0.3333333333333333,0.45454545454545453,0.5,0.75,0.6,1.0,0.3333333333333333,1.0,1.0,0.14285714285714285,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.5714285714285714,0.4,0.25,0.0,0.0,0.5,0.3333333333333333,0.5,0.3333333333333333,0.8571428571428571,0.8666666666666667,0.2916666666666667,0.2916666666666667,0.32,0.34615384615384615,0.12434325744308233,0.12434325744308233,0.4,0.4,1.0,1.0,0.125,0.07692307692307693,0.0,0.0,0.0,0.0,1.0,0.8,1.0,1.0,0.448,0.4759493670886076,0.25,0.25,0.25,0.25,0.25,0.25,0.6976744186046512,0.8266666666666667,0,0
Reilly O'Brien,0.42105263157894735,0.45,0.30434782608695654,0.3333333333333333,0.36363636363636365,0.4166666666666667,0.875,0.7,0.0,0.0,0.0,0.0,0.5714285714285714,0.4444444444444444,1.0,1.0,0.5,0.5,0.4444444444444444,0.4444444444444444,0.5714285714285714,0.5714285714285714,0.4,0.25,0.07692307692307693,0.07692307692307693,1.0,0.6666666666666666,0.5,0.3333333333333333,0.7142857142857143,0.7333333333333333,0.16666666666666666,0.16666666666666666,0.44,0.46153846153846156,0.5271453590192645,0.5271453590192645,1.0,1.0,0.0,0.0,0.875,0.5384615384615384,0.0,0.0,0.2,0.2,0.75,0.6,0.36363636363636365,0.36363636363636365,0.22533333333333333,0.2645569620253165,0.125,0.125,0.625,0.625,0.0,0.0,0.8604651162790697,0.92,0,0
Harry Schoenberg,0.5789473684210527,0.6,0.17391304347826086,0.20833333333333334,0.36363636363636365,0.4166666666666667,0.125,0.1,0.0,0.0,0.0,0.0,0.14285714285714285,0.1111111111111111,0.0,0.0,0.5,0.5,1.0,1.0,0.42857142857142855,0.42857142857142855,1.0,0.625,0.0,0.0,0.5,0.3333333333333333,0.5,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.5416666666666666,0.5416666666666666,0.32,0.34615384615384615,0.2469352014010508,0.2469352014010508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.6,0.5454545454545454,0.5454545454545454,0.492,0.5177215189873418,1.0,1.0,0.125,0.125,0.25,0.25,0.5348837209302325,0.7333333333333333,0,0
Tom Doedee,0.47368421052631576,0.5,0.13043478260869565,0.16666666666666666,0.2727272727272727,0.3333333333333333,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.375,0.46153846153846156,0.46153846153846156,0.5,0.3333333333333333,0.5,0.3333333333333333,0.35714285714285715,0.4,0.25,0.25,0.36,0.38461538461538464,0.5621716287215411,0.5621716287215411,0.6,0.6,0.0,0.0,1.0,0.6153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.368,0.4,0.25,0.25,1.0,1.0,0.0,0.0,1.0,1.0,0,0
Chayce Jones,0.3157894736842105,0.35,0.21739130434782608,0.25,0.24242424242424243,0.3055555555555556,0.125,0.1,0.0,0.0,0.0,0.0,0.42857142857142855,0.3333333333333333,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.14285714285714285,0.14285714285714285,0.8,0.5,0.0,0.0,0.5,0.3333333333333333,1.0,0.6666666666666666,0.21428571428571427,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.28,0.3076923076923077,0.404553415061296,0.404553415061296,0.0,0.0,0.0,0.0,0.625,0.38461538461538464,0.0,0.0,0.2,0.2,0.0,0.0,0.18181818181818182,0.18181818181818182,0.192,0.23291139240506328,0.5,0.5,0.75,0.75,0.0,0.0,0.4418604651162791,0.68,0,0
